Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,13.33,7,19,10.4,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
23-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,12.89,8,19,2,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
24-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,11.72,4,19,5.5,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
25-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,12.5,10,16,7.6,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
26-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,11.44,9,15,3.3,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
27-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,10.72,2,19,5.3,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
28-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,10.11,1,18,7.6,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
29-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,10,1,19,8.9,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
30-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,11,7,16,16.8,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
31-01-2020,,Mexico,0,0,0,0,23.6345,-102.5528,8.11,0,15,8.2,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
01-02-2020,,Mexico,0,0,0,0,23.6345,-102.5528,7.28,4,13,6.2,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
02-02-2020,,Mexico,0,0,0,0,23.6345,-102.5528,9.61,6,16,4.8,99.99,1,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
03-02-2020,,Mexico,0,0,0,0,23.6345,-102.5528,8.67,7,10,11.5,99.99,1,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
04-02-2020,,Mexico,0,0,0,0,23.6345,-102.5528,10.67,8,15,19.8,0,0,128932753,66,29,0.96,7.26,1.5,0.375,0,23.43,33.14,73.5,79.2,9481,86.28,41.313,Not Reported
