Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,5.67,1.11,12,6.6,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
23-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,2.78,0.72,5.22,9.2,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
24-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,1.28,-5.39,7.61,3.1,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
25-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,-1.39,-8,7.72,2.7,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
26-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,-1.22,-6.89,6.28,2.7,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
27-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,0.28,-6.28,7.89,2.4,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
28-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,0.44,-2.5,5.61,2.3,0,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
29-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,1.67,-1.61,5.89,3.9,0.04,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
30-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,2.06,-3.78,8,4.9,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
31-01-2020,,Moldova,0,0,0,0,47.4116,28.3699,2.78,-4.78,6.72,3.9,0,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
01-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,8.17,5.5,10.22,4.2,0.02,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
02-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,7.5,1.78,14,1.9,0.08,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
03-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,6.06,1.39,10.11,4.7,0.02,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
04-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,4.83,-0.22,10.5,3.9,0.04,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
05-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,3.22,-0.22,6.22,7,0.63,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
06-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,-1,-3.5,1.39,6.6,99.99,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
07-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,-1.22,-4.5,1.5,6.8,0.04,1,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
08-02-2020,,Moldova,0,0,0,0,47.4116,28.3699,-3.28,-7.72,0.61,4.7,0,0,4033963,123,38,0.95,13.08,5.8,1.45,0,9.21,29.88,67.4,75.4,Not Reported,Not Reported,Not Reported,Not Reported
