Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,6.61,5,9,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
23-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,5,3,7,3.4,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
24-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,4.78,3,6,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
25-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,4.61,2,6,999.9,0,1,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
26-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,5.33,3,7,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
27-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,5.22,4,7,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
28-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.44,3,12,7.7,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
29-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,10.44,7,14,3.3,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
30-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.39,5,10,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
31-01-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.22,5,10,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
01-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.44,6,9,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
02-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,9,6,11,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
03-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,16.94,13,20,6.2,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
04-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,10.83,7,14,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
05-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,8.61,7,10,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
06-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,5.61,4,7,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
07-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,6.33,3,10,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
08-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,6.06,4,8,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
09-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,6.17,4,8,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
10-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.83,3,13,3.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
11-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,13.17,12,14,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
12-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,10.06,8,12,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
13-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.17,5,9,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
14-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,7.39,3,12,999.9,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
15-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,8.78,6,12,3.1,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
16-02-2020,,Monaco,0,0,0,0,43.7333,7.4167,8.06,5,11,3.1,0,0,39242,26337,54,0.95,33.15,13.8,3.45,0,Not Reported,Not Reported,85.5,93.4,Not Reported,Not Reported,Not Reported,Not Reported
