Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-13.22,-18.72,-7.5,7.8,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
23-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-14.61,-22.28,-6.5,1.9,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
24-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-12.39,-20.5,-5.89,5.4,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
25-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-11.22,-18.39,-1.11,5.4,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
26-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-10.33,-18.11,-0.5,2.4,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
27-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-11.39,-17.61,-1.22,3.9,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
28-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-12.72,-18.22,-5.28,3.9,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
29-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-11.56,-20,-3,5.2,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
30-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-11.61,-18.39,-6.28,9.5,0,1,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
31-01-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-19.22,-24.39,-12.28,6.6,0.02,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
01-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-19.89,-26,-14.28,8.6,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
02-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-15.83,-22.89,-9,5.3,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
03-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-17.56,-21.61,-10.89,5.3,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
04-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-15.11,-22.89,-7.22,5.3,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
05-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-13.06,-21.39,-4.78,4.2,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
06-02-2020,,Mongolia,0,0,0,0,46.8625,103.8467,-12.72,-19.11,-5.72,4.4,0,0,3278290,2,28,0.96,4.42,7,1.75,0,9.3,18.76,66,74.7,Not Reported,Not Reported,Not Reported,Not Reported
