Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Montenegro,0,0,0,0,42.5,19.3,3.5,-3,10.22,2.3,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
23-01-2020,,Montenegro,0,0,0,0,42.5,19.3,5.28,-2.28,14,2.7,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
24-01-2020,,Montenegro,0,0,0,0,42.5,19.3,6.5,-2,11.72,2.3,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
25-01-2020,,Montenegro,0,0,0,0,42.5,19.3,6.94,5,9,2,99.99,1,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
26-01-2020,,Montenegro,0,0,0,0,42.5,19.3,7.72,5,9,1.8,99.99,1,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
27-01-2020,,Montenegro,0,0,0,0,42.5,19.3,9.61,7.28,12.22,2.9,1.23,1,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
28-01-2020,,Montenegro,0,0,0,0,42.5,19.3,7.94,6,10,2,99.99,1,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
29-01-2020,,Montenegro,0,0,0,0,42.5,19.3,10.94,8.39,14.22,3.4,0.44,1,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
30-01-2020,,Montenegro,0,0,0,0,42.5,19.3,9.22,4.22,14.5,3.8,0.03,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
31-01-2020,,Montenegro,0,0,0,0,42.5,19.3,7.06,0.89,10.72,2.1,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
01-02-2020,,Montenegro,0,0,0,0,42.5,19.3,11.5,7.39,16.22,2.3,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
02-02-2020,,Montenegro,0,0,0,0,42.5,19.3,12.89,9.39,17.22,2.4,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
03-02-2020,,Montenegro,0,0,0,0,42.5,19.3,11.78,8.39,14.11,2.7,0,0,628066,47,39,0.99,15.09,4,1,0,10.7,26.47,Not Reported,Not Reported,1030,Not Reported,2.077,Not Reported
