Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,7.94,2.28,13,3.3,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
23-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,7.89,1.5,13,2.8,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
24-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,8.83,0.61,15,4.1,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
25-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,10.5,6,16,4.9,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
26-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,10.33,4,17,3.3,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
27-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,9.89,1,18.39,2.3,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
28-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,10.33,2,19,2.6,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
29-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,11.06,3,21,2.1,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
30-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,12,1.61,21,2.7,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
31-01-2020,,Morocco,0,0,0,0,31.7917,-7.0926,13.28,3,23,2.5,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
01-02-2020,,Morocco,0,0,0,0,31.7917,-7.0926,13.78,2.39,24,2,0,0,36910560,83,30,0.97,6.95,1.1,0.275,0,7.51,13.73,74.3,80.5,2125,Not Reported,12.289,Not Reported
