Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,25.89,22,30.22,6,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
23-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,25.56,23,31.39,5.6,0.08,1,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
24-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,25.83,22.22,30.39,7.3,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
25-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,27.28,23,31.78,9.3,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
26-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,29.39,23,37.89,9.7,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
27-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,25.61,22.72,29.22,14.4,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
28-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,25.5,21.39,29.11,7.7,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
29-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,26.5,21.89,32.22,7.3,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
30-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,27,23.89,31,5.8,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
31-01-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,27.06,21.78,32.61,8.2,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
01-02-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,27.06,22.61,32.5,8,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
02-02-2020,,Mozambique,0,0,0,0,-25.966667,32.583333,27.44,22.72,32.11,7.1,0,0,27233789,Not Reported,17.3,1.02,2.88,0.7,0.175,0,Not Reported,Not Reported,53.3,54.9,Not Reported,Not Reported,2.87,Not Reported
