Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,28.06,15.78,37,2.5,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
23-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,28.83,20.39,36.89,2.9,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
24-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,27,18.22,36.5,3.5,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
25-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,27.33,15.89,38,2.6,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
26-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,26.61,15.72,37.78,2.5,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
27-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,26.33,14.11,36.72,14,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
28-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,22.33,14,36,5.9,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
29-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,31.5,15,37.28,18.6,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
30-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,27.22,18.5,37.28,4.8,0,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
31-01-2020,,Namibia,0,0,0,0,-22.9576,18.4904,29.61,17.5,35.72,4.1,0.02,0,2540905,3,22,0.96,3.93,2.7,0.675,0,29.39,65.58,,62.7,66.2,,N/A,"1,499","5,790"
