Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Nepal,0,0,0,0,28.1667,84.25,14.61,6,20.22,3.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,0,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
23-01-2020,,Nepal,0,0,0,0,28.1667,84.25,14.78,6.28,19.72,3.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,0,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
24-01-2020,,Nepal,0,0,0,0,28.1667,84.25,13,9.89,17,2.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,0,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
25-01-2020,,Nepal,1,0,1,0,28.1667,84.25,14.06,7.22,18.5,2.2,0,1,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
26-01-2020,,Nepal,1,0,0,0,28.1667,84.25,11.5,6.78,16.78,2.8,0,1,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
27-01-2020,,Nepal,1,0,0,0,28.1667,84.25,14.5,9.22,20.11,3.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
28-01-2020,,Nepal,1,0,0,0,28.1667,84.25,15.72,8.22,20.72,3.7,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
29-01-2020,,Nepal,1,0,0,0,28.1667,84.25,16.17,9.28,22.11,5,0,1,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
30-01-2020,,Nepal,1,0,0,0,28.1667,84.25,12.67,8.11,21.78,1.5,0.13,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
31-01-2020,,Nepal,1,0,0,0,28.1667,84.25,14.17,6.72,20.61,3.6,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
01-02-2020,,Nepal,1,0,0,0,28.1667,84.25,16.22,11.61,20.72,4.5,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
02-02-2020,,Nepal,1,0,0,0,28.1667,84.25,13.67,6.61,19.72,3.8,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
03-02-2020,,Nepal,1,0,0,0,28.1667,84.25,14.17,7.72,20.22,3.8,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
04-02-2020,,Nepal,1,0,0,0,28.1667,84.25,14.17,8.39,20.28,3.5,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
05-02-2020,,Nepal,1,0,0,0,28.1667,84.25,14.17,8.39,20.28,3.5,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
06-02-2020,,Nepal,1,0,0,0,28.1667,84.25,15.44,7.78,20.39,4.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
07-02-2020,,Nepal,1,0,0,0,28.1667,84.25,15.44,7.78,20.39,4.2,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
08-02-2020,,Nepal,1,0,0,0,28.1667,84.25,13.39,8.5,19.22,7.1,0,1,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
09-02-2020,,Nepal,1,0,0,0,28.1667,84.25,13.39,8.5,19.22,7.1,0,1,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
10-02-2020,,Nepal,1,0,0,0,28.1667,84.25,15.39,7.5,22.22,2.6,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
11-02-2020,,Nepal,1,0,0,0,28.1667,84.25,15.39,7.5,22.22,2.6,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
12-02-2020,,Nepal,1,0,0,0,28.1667,84.25,16.22,8.61,22.72,2.8,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
13-02-2020,,Nepal,1,0,0,0,28.1667,84.25,17.06,9.5,23.72,3.4,0,0,29136808,203,25,0.95,5.34,0.3,0.075,3.43208E-05,94.59,107.64,,70.6,72,,N/A,"1,173",N/A
