Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.83,25.28,30.5,12,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
23-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.28,23.28,30.28,7.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
24-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.67,23.28,30.5,7,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
25-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.83,23.39,30.61,7.3,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
26-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.67,23.39,30.78,6,0.13,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
27-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.89,23.89,29.22,7.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
28-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.94,23.89,30.22,8.2,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
29-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.56,25.89,31.61,10.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
30-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.22,24.39,31.61,11.4,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
31-01-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.94,24.39,31.5,15.9,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
01-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.94,26.22,32.11,18.3,0,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
02-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.78,25.78,31.11,16.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
03-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.78,25.78,31.11,16.9,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
04-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.22,25,31.39,16,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
05-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.22,25,31,15.9,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
06-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.44,25.28,31.28,18.2,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
07-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.67,25.72,30.89,17.6,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
08-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.56,25.5,31.22,17.3,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
09-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,26.78,24,30.22,13.3,0.06,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
10-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.28,25.89,31,17.3,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
11-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.5,25.72,31,19.5,0,0,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
12-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.33,25.72,31.11,17.8,15.03,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
13-02-2020,Aruba,Netherlands,0,0,0,0,12.5186,-70.0358,27.5,25.39,31,18.3,0.04,1,17134872,508,43,0.98,19.1,4.7,1.175,0,22.74,30.36,,79.3,83.8,,N/A,"18,781",N/A
