Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,21.28,16,28,17.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
23-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,21.28,16,28,17.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
24-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,20.39,16,24,12.8,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
25-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,20.39,16,24,12.8,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
26-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,17,9,25,11.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
27-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,24.06,18,28,8.6,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
28-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,18.5,12,22,10.7,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
29-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,18.5,12,22,10.7,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
30-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,20.22,17,24,12.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
31-01-2020,,Nigeria,0,0,0,0,9.082,8.6753,21.56,11,28,13.4,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
01-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,21.56,11,28,13.4,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
02-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,18.39,10,26,8.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
03-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,18.39,10,26,8.2,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
04-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,19.83,11,28,8.6,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
05-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,18,10,26,5.3,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
06-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,20.83,14,27,7,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
07-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,17,13,20,13.1,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
08-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,19,10,26,13.6,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
09-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,22.39,20,27,12.5,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
10-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,22.39,20,27,12.5,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
11-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,17.61,12,26,15.6,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
12-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,17.61,12,26,15.6,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
13-02-2020,,Nigeria,0,0,0,0,9.082,8.6753,30.17,21,36,4.4,0,0,206139589,226,18,1.04,3.26,0.3,0.075,0,19.65,22.75,,57.5,61.1,,N/A,5265,14787
