Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Norway,0,0,0,0,60.472,8.4689,6.83,6,7,12.5,0,0,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
23-01-2020,,Norway,0,0,0,0,60.472,8.4689,6,5537.72,5537.72,11.3,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
24-01-2020,,Norway,0,0,0,0,60.472,8.4689,6.56,6,7,11.3,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
25-01-2020,,Norway,0,0,0,0,60.472,8.4689,6,5537.72,5537.72,10.5,0,0,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
26-01-2020,,Norway,0,0,0,0,60.472,8.4689,4,3,6,15.6,0,0,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
27-01-2020,,Norway,0,0,0,0,60.472,8.4689,7,5537.72,5537.72,13.8,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
28-01-2020,,Norway,0,0,0,0,60.472,8.4689,6,5537.72,5537.72,12.5,0,0,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
29-01-2020,,Norway,0,0,0,0,60.472,8.4689,6.17,5,7,14,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
30-01-2020,,Norway,0,0,0,0,60.472,8.4689,7,5537.72,5537.72,17.2,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
31-01-2020,,Norway,0,0,0,0,60.472,8.4689,7.39,7,8,15.9,99.99,1,5421241,15,40,1.02,16.94,3.9,0.975,0,23.51,29.49,,79.9,84.1,,N/A,5688,N/A
