Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,17.83,14.61,21.11,13,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
23-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,18.22,16.5,20,8,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
24-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,18,16.11,21.61,10.5,0.02,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
25-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.56,15.39,22.39,14.4,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
26-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.33,17.89,22.89,12.3,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
27-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.39,17.72,21,11.5,0.08,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
28-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.44,17.89,22.39,11.1,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
29-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.56,17.5,21.39,9.1,0.04,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
30-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,18.89,17.11,22,12.5,0.06,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
31-01-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.39,17,22.11,12.4,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
01-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.44,17.22,22.28,15.6,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
02-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,19.61,18.39,22.39,12.5,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
03-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,20.28,18.5,22.22,11.5,0.02,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
04-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,20.33,16.22,25.61,16,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
05-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,17.33,14.5,20.61,9.2,0.02,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
06-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,17.94,12.5,21.61,7.2,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
07-02-2020,,New Zealand,0,0,0,0,-40.9006,174.886,17.28,11.61,21.5,8.4,0,0,4822233,18,38,0.99,15.57,2.8,0.7,0,19.66,24.61,,79.2,83.6,,N/A,3538,N/A
