Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Median Age (Years),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Oman,0,0,0,0,21,57,19.67,11.72,27.11,7.6,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
23-01-2020,,Oman,0,0,0,0,21,57,20.56,12.61,27.39,10.5,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
24-01-2020,,Oman,0,0,0,0,21,57,21.5,14.39,28.11,5.2,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
25-01-2020,,Oman,0,0,0,0,21,57,22.67,16.39,28.89,3.2,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
26-01-2020,,Oman,0,0,0,0,21,57,20,13.5,26.28,13.4,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
27-01-2020,,Oman,0,0,0,0,21,57,15.22,10.22,21.78,16.1,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
28-01-2020,,Oman,0,0,0,0,21,57,14.89,6.89,22.78,9.3,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
29-01-2020,,Oman,0,0,0,0,21,57,16.44,7.5,24.5,4.8,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
30-01-2020,,Oman,0,0,0,0,21,57,17.89,10.11,25.28,4.5,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
31-01-2020,,Oman,0,0,0,0,21,57,17.44,9.89,26.28,7.3,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
01-02-2020,,Oman,0,0,0,0,21,57,18.67,8.61,28,5.9,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
02-02-2020,,Oman,0,0,0,0,21,57,19.5,10.89,27,4.4,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
03-02-2020,,Oman,0,0,0,0,21,57,19.39,12.11,27.5,5.9,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
04-02-2020,,Oman,0,0,0,0,21,57,17.67,9.11,26,11,0,0,5106626,16,31,1.19,3.55,1.6,0.4,0,9.06,12.54,,73.9,78,,5975,3242,N/A
