Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,South Korea,1,0,0,0,36,128,1.22,-2.61,2.22,1.7,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
23-01-2020,,South Korea,1,0,0,0,36,128,3.44,0.22,6,4.1,0.3,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
24-01-2020,,South Korea,2,0,1,0,36,128,4.5,0.61,9.22,4.7,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
25-01-2020,,South Korea,2,0,0,0,36,128,3.33,-1.39,7.72,2.3,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
26-01-2020,,South Korea,3,0,1,0,36,128,5.56,-1.89,8.61,8,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
27-01-2020,,South Korea,4,0,1,0,36,128,3.17,1.5,4.72,4.4,0.12,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
28-01-2020,,South Korea,4,0,0,0,36,128,5.33,1.11,9.11,2.2,0.45,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
29-01-2020,,South Korea,4,0,0,0,36,128,4.22,1.22,6.72,0.7,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
30-01-2020,,South Korea,4,0,0,0,36,128,3.89,0.78,7.11,2.2,0,0,51269185,527,44,1,14.55,11.5,0.125,0.00021,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
31-01-2020,,South Korea,11,0,7,0,36,128,2.11,-2,6,6.1,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000214554,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
01-02-2020,,South Korea,12,0,1,0,36,128,1.78,-2.78,4.5,4.2,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000234059,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
02-02-2020,,South Korea,15,0,3,0,36,128,2.11,-2.39,6.11,5.3,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000292573,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
03-02-2020,,South Korea,15,0,0,0,36,128,-1.06,-7,3.5,6.1,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000292573,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
04-02-2020,,South Korea,16,0,1,0,36,128,0.11,-8.22,3.72,7.8,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000312078,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
05-02-2020,,South Korea,19,0,3,0,36,128,-6.94,-10.89,-2.72,8.7,0.01,0,51269185,527,44,1,14.55,11.5,0.125,0.000370593,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
06-02-2020,,South Korea,23,0,4,0,36,128,-4.83,-11.22,0.22,2.8,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000448613,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
07-02-2020,,South Korea,24,0,1,0,36,128,-0.61,-9.39,2,9.7,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000468117,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
08-02-2020,,South Korea,24,0,0,0,36,128,-1.33,-7.5,3.72,7.6,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000468117,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
09-02-2020,,South Korea,25,0,1,0,36,128,0.89,-7.89,4.22,7.8,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000487622,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
10-02-2020,,South Korea,27,0,2,0,36,128,2.17,-4.39,9.5,4.1,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000526632,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
11-02-2020,,South Korea,28,0,1,0,36,128,6.39,-5.11,12.61,2.1,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000546137,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
12-02-2020,,South Korea,28,0,0,0,36,128,6.22,3.89,8.61,4.3,0.1,0,51269185,527,44,1,14.55,11.5,0.125,0.000546137,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
13-02-2020,,South Korea,28,0,0,0,36,128,5.44,2,9.5,4,0.38,0,51269185,527,44,1,14.55,11.5,0.125,0.000546137,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
14-02-2020,,South Korea,28,0,0,0,36,128,7.06,1.72,15.22,3.9,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000546137,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
15-02-2020,,South Korea,28,0,0,0,36,128,9.5,2.72,13.61,7.5,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000546137,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
16-02-2020,,South Korea,29,0,1,0,36,128,-2.06,-4.22,0.61,12.3,0.19,0,51269185,527,44,1,14.55,11.5,0.125,0.000565642,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
17-02-2020,,South Korea,30,0,1,0,36,128,-5.33,-7.5,-2.5,10.4,0.05,0,51269185,527,44,1,14.55,11.5,0.125,0.000585147,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
18-02-2020,,South Korea,31,0,1,0,36,128,-1.83,-7.5,1.72,8.1,0.01,0,51269185,527,44,1,14.55,11.5,0.125,0.000604652,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
19-02-2020,,South Korea,31,0,0,0,36,128,1.67,-5.22,8,3.6,0,0,51269185,527,44,1,14.55,11.5,0.125,0.000604652,6.6,16.23,79.4,85.8,431743,28.696,15.347,31.1153
