Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Thailand,2,0,2,0,15,101,28.5,19.78,37.28,0.7,0,0,69799978,137,40,0.97,10.97,2.1,0.525,2.86533E-05,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
23-01-2020,,Thailand,3,0,1,0,15,101,29.67,21.89,37.61,2,0,0,69799978,137,40,0.97,10.97,2.1,0.525,4.298E-05,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
24-01-2020,,Thailand,5,0,2,0,15,101,30.28,24.22,37,2.8,0,0,69799978,137,40,0.97,10.97,2.1,0.525,7.16333E-05,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
25-01-2020,,Thailand,7,0,2,0,15,101,29.06,23.89,34.5,4.4,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000100287,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
26-01-2020,,Thailand,8,0,1,0,15,101,27.22,20.5,36.11,3.3,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000114613,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
27-01-2020,,Thailand,8,0,0,0,15,101,26.78,19.28,35.61,3.2,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000114613,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
28-01-2020,,Thailand,14,0,6,0,15,101,25.72,18.5,35.28,1.2,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000200573,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
29-01-2020,,Thailand,14,0,0,0,15,101,27.28,17.5,35.5,2.9,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000200573,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
30-01-2020,,Thailand,14,0,0,0,15,101,24.89,20.39,30.72,4.8,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000200573,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
31-01-2020,,Thailand,19,0,5,0,15,101,24,19.22,31.39,3.1,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000272206,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
01-02-2020,,Thailand,19,0,0,0,15,101,25.61,17.5,35,2.2,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000272206,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
02-02-2020,,Thailand,19,0,0,0,15,101,26.67,18.11,35.61,1.7,0,0,69799978,137,40,0.97,10.97,2.1,0.525,0.000272206,12.91,41.67,71.9,78.5,,Not Reported,38.178,227.774
