Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Togo,0,0,0,0,8.6195,0.8248,28.44,21.78,35.61,1.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
23-01-2020,,Togo,0,0,0,0,8.6195,0.8248,28.56,23.39,35.89,3.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
24-01-2020,,Togo,0,0,0,0,8.6195,0.8248,28.28,25,35.22,7.2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
25-01-2020,,Togo,0,0,0,0,8.6195,0.8248,27.94,23,35.5,6.9,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
26-01-2020,,Togo,0,0,0,0,8.6195,0.8248,27.44,19.22,35.28,3.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
27-01-2020,,Togo,0,0,0,0,8.6195,0.8248,26.61,20.78,35,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
28-01-2020,,Togo,0,0,0,0,8.6195,0.8248,26.67,19.5,34.5,1.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
29-01-2020,,Togo,0,0,0,0,8.6195,0.8248,27.39,19,36.78,1.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
30-01-2020,,Togo,0,0,0,0,8.6195,0.8248,29.39,23.22,36.5,5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
31-01-2020,,Togo,0,0,0,0,8.6195,0.8248,28.28,19,36,3.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
01-02-2020,,Togo,0,0,0,0,8.6195,0.8248,29.33,25.28,35.78,6.2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
02-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.06,23,35.5,1.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
03-02-2020,,Togo,0,0,0,0,8.6195,0.8248,26.44,18,35.5,3.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
04-02-2020,,Togo,0,0,0,0,8.6195,0.8248,26.72,16.5,35.5,3.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
05-02-2020,,Togo,0,0,0,0,8.6195,0.8248,26.5,19,34,4.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
06-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.17,22,35.5,3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
07-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.94,23,35.61,2.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
08-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.94,21,36.5,2.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
09-02-2020,,Togo,0,0,0,0,8.6195,0.8248,29,23.5,36,0.8,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
10-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.11,22.78,35,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
11-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.89,25.5,34.5,9,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
12-02-2020,,Togo,0,0,0,0,8.6195,0.8248,29.11,24.5,35.72,7.1,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
13-02-2020,,Togo,0,0,0,0,8.6195,0.8248,27.78,22,35,2.5,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
14-02-2020,,Togo,0,0,0,0,8.6195,0.8248,29.61,25,35.61,2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
15-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.72,20.5,38,1.1,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
16-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.61,20.5,38.22,3.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
17-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.89,19.5,38,2.8,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
18-02-2020,,Togo,0,0,0,0,8.6195,0.8248,29.83,21.5,37,0.8,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
19-02-2020,,Togo,0,0,0,0,8.6195,0.8248,30.28,24.5,37.61,2.6,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
20-02-2020,,Togo,0,0,0,0,8.6195,0.8248,30.11,23.5,38,1.8,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
21-02-2020,,Togo,0,0,0,0,8.6195,0.8248,30.89,23.5,38,2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
22-02-2020,,Togo,0,0,0,0,8.6195,0.8248,31.17,23,38.78,1.4,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
23-02-2020,,Togo,0,0,0,0,8.6195,0.8248,30.39,25,39,2.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
24-02-2020,,Togo,0,0,0,0,8.6195,0.8248,31.83,27.5,38.5,4.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
25-02-2020,,Togo,0,0,0,0,8.6195,0.8248,30.39,25.28,36.5,4.2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
26-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.33,20,37.11,2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
27-02-2020,,Togo,0,0,0,0,8.6195,0.8248,28.78,22.5,38.22,0,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
28-02-2020,,Togo,0,0,0,0,8.6195,0.8248,31.83,25,38,1.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
29-02-2020,,Togo,0,0,0,0,8.6195,0.8248,31.61,23,39.5,1,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
01-03-2020,,Togo,0,0,0,0,8.6195,0.8248,30.89,23.78,39.22,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
02-03-2020,,Togo,0,0,0,0,8.6195,0.8248,30.67,26,38,1.7,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
03-03-2020,,Togo,0,0,0,0,8.6195,0.8248,30.5,24.5,39,4.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
04-03-2020,,Togo,0,0,0,0,8.6195,0.8248,30.89,25.22,38.22,3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
05-03-2020,,Togo,0,0,0,0,8.6195,0.8248,31.33,25,39,1.2,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
06-03-2020,,Togo,1,0,1,0,8.6195,0.8248,29.5,24.5,38.78,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
07-03-2020,,Togo,1,0,0,0,8.6195,0.8248,28.11,23,35,1.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
08-03-2020,,Togo,1,0,0,0,8.6195,0.8248,29.06,24,38,3.7,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
09-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.06,25.72,38.5,2,0.01,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
10-03-2020,,Togo,1,0,0,0,8.6195,0.8248,29,25,37.5,2.2,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
11-03-2020,,Togo,1,0,0,0,8.6195,0.8248,28.5,25.5,38,0.6,0.83,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
12-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.61,23.5,38,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
13-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.22,27,38,1.6,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
14-03-2020,,Togo,1,0,0,0,8.6195,0.8248,28.78,24.5,34.5,2.8,0.2,1,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
15-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.78,25,37.5,1.5,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
16-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.11,25,38.5,0.9,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
17-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.72,24.78,38.28,1.3,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
18-03-2020,,Togo,1,0,0,0,8.6195,0.8248,30.94,25.5,37.5,1,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
19-03-2020,,Togo,1,0,0,0,8.6195,0.8248,29.56,25,36.22,2.3,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.000120792,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
20-03-2020,,Togo,9,0,8,0,8.6195,0.8248,29.56,25,37.5,3.8,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.001087124,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
21-03-2020,,Togo,16,0,7,0,8.6195,0.8248,28.11,25.5,37,1.5,0.16,1,8278724,152,19,0.98,3.46,0.8,0.2,0.001932665,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
22-03-2020,,Togo,16,0,0,0,8.6195,0.8248,28,25,36.5,1,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.001932665,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
23-03-2020,,Togo,18,0,2,0,8.6195,0.8248,29.06,23.5,34.5,3.7,0,1,8278724,152,19,0.98,3.46,0.8,0.2,0.002174248,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
24-03-2020,,Togo,20,0,2,0,8.6195,0.8248,26.11,22.5,31.22,0.7,0.16,1,8278724,152,19,0.98,3.46,0.8,0.2,0.002415831,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
25-03-2020,,Togo,23,0,3,0,8.6195,0.8248,27.17,23,34,1.1,0.01,0,8278724,152,19,0.98,3.46,0.8,0.2,0.002778206,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
26-03-2020,,Togo,23,0,0,0,8.6195,0.8248,30.44,24,36.61,0.6,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.002778206,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
27-03-2020,,Togo,25,1,2,1,8.6195,0.8248,29.83,24,37,2.6,0,0,8278724,152,19,0.98,3.46,0.8,0.2,0.003019789,24.97,34.77,63.1,68.6,,Not Reported,Not Reported,Not Reported
