Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Trinidad and Tobago,0,0,,0,10.6918,-61.2225,25.28,20.72,30.61,4.1,0.01,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
23-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.28,19.72,31.11,4.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
24-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.11,19.72,31.22,3.2,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
25-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,20.61,31.22,3.7,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
26-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.28,22.72,32,3.7,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
27-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.72,20.5,31.28,3.5,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
28-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.72,23,32,5.2,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
29-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,27,23.89,33,6.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
30-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.94,23.22,31.5,6.8,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
31-01-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,27.11,23.39,31.61,7.8,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
01-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,27.06,24,31.61,8.2,0.01,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
02-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.83,22.89,31.39,5.5,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
03-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.17,21.72,31.72,5.7,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
04-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,21.72,31.11,5.8,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
05-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26,21.39,31.5,5.5,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
06-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.83,21.39,31.5,6.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
07-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.61,21.22,31.22,7.9,0.04,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
08-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.61,20.39,31.28,5,0.05,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
09-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.78,20.39,31.28,6.8,0.3,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
10-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.17,22,31.28,7.7,0.1,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
11-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.67,22,31.89,6.3,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
12-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.94,22.78,31.89,9.1,0.06,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
13-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,23.39,31.5,7.4,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
14-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,24.94,23,31.5,6.1,0.04,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
15-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,23,30.61,7.6,0.06,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
16-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.89,22.39,32,4.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
17-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.78,22.39,30.78,7.2,0.08,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
18-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,23.89,30.61,7.7,0.39,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
19-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.39,23.28,31.22,7.6,0.11,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
20-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,23,31.22,8.6,0.01,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
21-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.78,21,31.22,6.2,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
22-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.28,21,31.72,5.8,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
23-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,22,31.72,4.4,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
24-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,22,31.5,6.2,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
25-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.67,22.72,31.28,6.2,0.16,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
26-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.56,22,31.78,5.1,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
27-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.89,21.72,31.78,5.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
28-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.56,20.39,31.61,5,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
29-02-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,20.39,31.61,7.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
01-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.94,21.5,31.61,6.8,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
02-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,25.67,21,31.61,5.2,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
03-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,24.94,20,31.39,4.8,0,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
04-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.22,20,31.5,6.6,0.04,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
05-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26,22,31.5,10.4,0.02,1,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
06-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,21.72,31.5,7.7,0.02,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
07-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.44,21.72,31.72,7.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
08-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.33,21.89,31.89,7.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
09-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.56,22,31.89,7,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
10-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.44,22,31.89,8.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
11-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.11,20.5,31.89,6.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
12-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.17,20.5,32.28,5.7,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
13-03-2020,,Trinidad and Tobago,0,0,0,0,10.6918,-61.2225,26.78,21.72,32.5,7.3,0,0,1399488,273,36,1.03,11.1,3,0.75,0,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
14-03-2020,,Trinidad and Tobago,2,0,2,0,10.6918,-61.2225,26.44,22,32.5,2.9,0,1,1399488,273,36,1.03,11.1,3,0.75,0.001429094,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
15-03-2020,,Trinidad and Tobago,2,0,0,0,10.6918,-61.2225,24.89,22,31.11,3.7,0,1,1399488,273,36,1.03,11.1,3,0.75,0.001429094,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
16-03-2020,,Trinidad and Tobago,4,0,2,0,10.6918,-61.2225,25.44,22.89,30,3.8,0.02,1,1399488,273,36,1.03,11.1,3,0.75,0.002858188,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
17-03-2020,,Trinidad and Tobago,5,0,1,0,10.6918,-61.2225,25.78,21,31,3.8,0,1,1399488,273,36,1.03,11.1,3,0.75,0.003572735,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
18-03-2020,,Trinidad and Tobago,7,0,2,0,10.6918,-61.2225,26.72,21.22,33.28,5.5,0,0,1399488,273,36,1.03,11.1,3,0.75,0.005001829,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
19-03-2020,,Trinidad and Tobago,9,0,2,0,10.6918,-61.2225,26.89,21.5,33.28,5.2,0,0,1399488,273,36,1.03,11.1,3,0.75,0.006430923,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
20-03-2020,,Trinidad and Tobago,9,0,0,0,10.6918,-61.2225,27.06,21.72,33,5.6,0,0,1399488,273,36,1.03,11.1,3,0.75,0.006430923,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
21-03-2020,,Trinidad and Tobago,49,0,40,0,10.6918,-61.2225,26.28,21.11,33,4.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0.035012805,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
22-03-2020,,Trinidad and Tobago,50,0,1,0,10.6918,-61.2225,27.28,21.11,32,8.3,0,0,1399488,273,36,1.03,11.1,3,0.75,0.035727352,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
23-03-2020,,Trinidad and Tobago,51,0,1,0,10.6918,-61.2225,26.78,23.61,32.61,8.2,0.11,1,1399488,273,36,1.03,11.1,3,0.75,0.036441899,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
24-03-2020,,Trinidad and Tobago,57,0,6,0,10.6918,-61.2225,27.22,23.61,32.61,8.1,0.11,0,1399488,273,36,1.03,11.1,3,0.75,0.040729181,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
25-03-2020,,Trinidad and Tobago,60,1,3,1,10.6918,-61.2225,26.83,22.11,32.39,7.9,0,0,1399488,273,36,1.03,11.1,3,0.75,0.042872822,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
26-03-2020,,Trinidad and Tobago,65,1,5,0,10.6918,-61.2225,26.83,22.11,32.89,7.1,0,0,1399488,273,36,1.03,11.1,3,0.75,0.046445557,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
27-03-2020,,Trinidad and Tobago,66,2,1,1,10.6918,-61.2225,26.44,20.78,32.89,5.5,0,0,1399488,273,36,1.03,11.1,3,0.75,0.047160104,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
28-03-2020,,Trinidad and Tobago,74,3,8,1,10.6918,-61.2225,26.44,20.78,32.72,6.8,0,1,1399488,273,36,1.03,11.1,3,0.75,0.052876481,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
29-03-2020,,Trinidad and Tobago,78,3,4,0,10.6918,-61.2225,27.33,23.39,32.72,9.1,0.15,1,1399488,273,36,1.03,11.1,3,0.75,0.055734669,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
30-03-2020,,Trinidad and Tobago,82,3,4,0,10.6918,-61.2225,25.28,24,27,5.1,0,0,1399488,273,36,1.03,11.1,0,0,0.058592857,6.52,23.73,70.5,76.4,,Not Reported,Not Reported,1.296
