Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Tunisia,0,0,0,0,34,9,14.89,10,21.78,14.6,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
23-01-2020,,Tunisia,0,0,0,0,34,9,14.78,10.39,21.5,12.1,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
24-01-2020,,Tunisia,0,0,0,0,34,9,12.67,8.28,21.22,5.4,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
25-01-2020,,Tunisia,0,0,0,0,34,9,11,4.22,19.39,1.9,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
26-01-2020,,Tunisia,0,0,0,0,34,9,12.22,3.28,21.5,2.9,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
27-01-2020,,Tunisia,0,0,0,0,34,9,12.78,4.5,19.5,8,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
28-01-2020,,Tunisia,0,0,0,0,34,9,11.44,4.11,18.61,4.1,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
29-01-2020,,Tunisia,0,0,0,0,34,9,10.67,3.28,20.11,4.9,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
30-01-2020,,Tunisia,0,0,0,0,34,9,11.61,4.89,20.89,4.5,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
31-01-2020,,Tunisia,0,0,0,0,34,9,13.78,7.22,21.89,4.4,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
01-02-2020,,Tunisia,0,0,0,0,34,9,13.33,3.72,23.22,3.6,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
02-02-2020,,Tunisia,0,0,0,0,34,9,14.44,6.28,21.72,3.7,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
03-02-2020,,Tunisia,0,0,0,0,34,9,13.39,5,23.61,4.4,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
04-02-2020,,Tunisia,0,0,0,0,34,9,15.22,7.22,25.61,6.7,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
05-02-2020,,Tunisia,0,0,0,0,34,9,15.78,8.78,19.11,9,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
06-02-2020,,Tunisia,0,0,0,0,34,9,12,6.5,17.11,5.1,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
07-02-2020,,Tunisia,0,0,0,0,34,9,10.22,2.5,16.78,6.5,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
08-02-2020,,Tunisia,0,0,0,0,34,9,8.78,1.22,18.61,5,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
09-02-2020,,Tunisia,0,0,0,0,34,9,11.17,1.5,21.22,2.7,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
10-02-2020,,Tunisia,0,0,0,0,34,9,12.44,1.61,21.72,3.7,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
11-02-2020,,Tunisia,0,0,0,0,34,9,11.61,1.78,23.5,6.4,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
12-02-2020,,Tunisia,0,0,0,0,34,9,11.28,2.11,22.28,4.5,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
13-02-2020,,Tunisia,0,0,0,0,34,9,13.5,8,19.89,1.9,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
14-02-2020,,Tunisia,0,0,0,0,34,9,13.33,5.28,22.28,5.8,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
15-02-2020,,Tunisia,0,0,0,0,34,9,15.17,8.78,23.11,3.4,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
16-02-2020,,Tunisia,0,0,0,0,34,9,14,4.5,22.61,2.6,0,0,11818619,76,33,0.99,8.33,2.3,0.575,0,10.97,38.83,74.3,77.6,,Not Reported,8.299,Not Reported
