Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-2.11,-9,2,1.9,0,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
23-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-2.39,-9.11,5.39,5.6,0.03,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
24-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-4.33,-9,-0.78,6.1,0.02,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
25-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-4.72,-11.28,4.28,1.5,0,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
26-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-1.22,-9.39,10.11,2.9,0,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
27-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,0.28,-8.39,9.5,3,0,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
28-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,3.33,-3.28,8.11,1.7,0,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
29-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,3.72,-1,9.28,2.3,0.01,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
30-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,3.78,-3,12,6,0,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
31-01-2020,,Turkey,0,0,0,0,38.9637,35.2433,-2.06,-8,0.11,6.7,0.57,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
01-02-2020,,Turkey,0,0,0,0,38.9637,35.2433,-1.94,-8.28,1,2.9,0.06,1,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
02-02-2020,,Turkey,0,0,0,0,38.9637,35.2433,0.44,-4,4,0.4,0.07,0,84339067,110,32,1.01,7.79,2.7,0.675,0,21.2,55.26,72.9,77.7,,Not Reported,45.768,126.466
