Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.89,19,29,7.1,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
23-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.94,19,29,8.4,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
24-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,25.28,20.22,30,3.8,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
25-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.33,19,29,3.5,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
26-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,21.89,18,26,4.5,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
27-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.67,21,26,4.4,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
28-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,20,18.5,22.5,2.2,0.59,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
29-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,20.61,19,23,4.2,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
30-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,24,20.61,28.22,3.5,0.01,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
31-01-2020,,Uganda,0,0,0,0,0.313611,32.581111,21.06,19.5,23.61,4,0,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
01-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,20.83,19,23,5.8,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
02-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,21.83,19,25,7.2,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
03-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.06,19,27,0.7,0.24,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
04-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.44,20,26,4.5,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
05-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,21.44,18,26,6.6,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
06-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.06,18,27,3,0.04,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
07-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.39,19,28,4.5,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
08-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,26.28,22,29.61,3.1,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
09-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.89,22,27,5.9,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
10-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.39,19.5,28,4,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
11-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.83,20,30,3.3,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
12-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.11,21,30,5.4,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
13-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,22.89,20,28,6.4,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
14-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.22,20,28,1.9,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
15-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.11,20,28,6.9,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
16-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.72,22,28,5.1,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
17-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,25.61,22,29,7.6,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
18-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.72,19.5,27,5.9,0.47,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
19-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.72,20,28,5.8,0,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
20-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.33,21,27,4.1,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
21-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.67,21,28,5.5,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
22-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.33,20,28,6.4,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
23-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,25.33,22,29,4.1,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
24-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,25.11,22,29,5.3,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
25-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.17,21,26,4.6,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
26-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,23.94,19,27,5.7,99.99,1,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
27-02-2020,,Uganda,0,0,0,0,0.313611,32.581111,24.83,22,28,8.1,0,0,40853749,Not Reported,15.9,1.03,1.96,0.5,0.125,0,Not Reported,Not Reported,54.8,57.8,,Not Reported,1.402,Not Reported
