Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,2.06,0.89,3.78,14.6,0,0,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
23-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,0.89,-0.11,2.72,13.3,0,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
24-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,1.39,-1.89,4.78,5.1,0,0,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
25-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,1.61,-1.39,6.11,5.3,0,0,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
26-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,0.78,-0.61,1.89,1.9,0,0,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
27-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,-0.44,-2.39,1.72,2.9,0,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
28-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,0.39,-1.22,1.72,3.6,0,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
29-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,0.83,-1.22,2.78,6.4,0.24,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
30-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,2.39,0.78,4,8,0.12,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
31-01-2020,,Ukraine,0,0,0,0,48.3794,31.1656,1.56,0.5,5.22,4.9,0.12,1,43733762,75,41,0.86,16.49,8.8,2.2,0,4.73,22.11,67.7,77.4,,27.977,14.104,Not Reported
