Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,United Arab Emirates,0,0,0,0,24,54,19.56,13.89,26,4.9,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
23-01-2020,,United Arab Emirates,0,0,0,0,24,54,22,17.72,27,10,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
24-01-2020,,United Arab Emirates,0,0,0,0,24,54,19.44,17.72,21,5.6,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
25-01-2020,,United Arab Emirates,0,0,0,0,24,54,19.44,16.39,22,4.3,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
26-01-2020,,United Arab Emirates,0,0,0,0,24,54,17.83,17,18.22,12.7,99.99,1,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
27-01-2020,,United Arab Emirates,0,0,0,0,24,54,18.89,17,21,11.2,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
28-01-2020,,United Arab Emirates,0,0,0,0,24,54,18.72,16,21.39,6.1,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
29-01-2020,,United Arab Emirates,4,0,4,0,24,54,18.33,13.89,22,4.1,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000404432,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
30-01-2020,,United Arab Emirates,4,0,0,0,24,54,18.33,14,23,3.4,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000404432,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
31-01-2020,,United Arab Emirates,4,0,0,0,24,54,17.83,13.78,22,3.6,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000404432,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
01-02-2020,,United Arab Emirates,4,0,0,0,24,54,18.33,13,23.39,4,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000404432,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
02-02-2020,,United Arab Emirates,5,0,1,0,24,54,19.44,16,23.22,5,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
03-02-2020,,United Arab Emirates,5,0,0,0,24,54,19.39,16.72,22,9.9,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
04-02-2020,,United Arab Emirates,5,0,0,0,24,54,18.83,15,21.22,6.6,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
05-02-2020,,United Arab Emirates,5,0,0,0,24,54,18.78,14,22,4,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
06-02-2020,,United Arab Emirates,5,0,0,0,24,54,19.83,15,24,4,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
07-02-2020,,United Arab Emirates,5,0,0,0,24,54,19.89,16.72,25,3.5,0,1,9890402,118,33,2.18,1.47,1.2,0.3,0.000505541,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
08-02-2020,,United Arab Emirates,7,0,2,0,24,54,21.28,15.61,28,3.3,0,1,9890402,118,33,2.18,1.47,1.2,0.3,0.000707757,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
09-02-2020,,United Arab Emirates,7,0,0,0,24,54,24.17,18,30,6.3,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000707757,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
10-02-2020,,United Arab Emirates,8,0,1,0,24,54,22.67,20.61,27,5.7,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
11-02-2020,,United Arab Emirates,8,0,0,0,24,54,20.5,18,23,11.5,99.99,1,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
12-02-2020,,United Arab Emirates,8,0,0,0,24,54,17.06,15,19,14.8,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
13-02-2020,,United Arab Emirates,8,0,0,0,24,54,17.61,14,20,8.4,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
14-02-2020,,United Arab Emirates,8,0,0,0,24,54,17.83,12.78,21.39,5,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
15-02-2020,,United Arab Emirates,8,0,0,0,24,54,18.67,14,22.22,4.9,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000808865,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
16-02-2020,,United Arab Emirates,9,0,1,0,24,54,19.89,15.39,24,3.5,0,0,9890402,118,33,2.18,1.47,1.2,0.3,0.000909973,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
17-02-2020,,United Arab Emirates,9,0,0,0,24,54,21.94,15.39,28.22,4.9,0,1,9890402,118,33,2.18,1.47,1.2,0.3,0.000909973,12.55,20.21,77.3,80.1,,18.904,21.286,Not Reported
