;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
0;0;-5163.647016836017;-14396.000058658272;3893.7059602444933;2020-01-22;-872.5922770426876;-3092.1428887544093;1455.2250122620744;-10052.561302961636;-55782.6436107123;36184.69276886212;554.0;17.0;28.0
1;1;-4345.304873702155;-14206.226370528691;5078.413936123647;2020-01-23;-584.0243001837973;-2783.731147912533;1649.5749380598925;-2626.3043109926025;-48288.59962219463;43974.22946116992;654.0;18.0;30.0
2;2;-3557.6487133251608;-12670.495137853623;6145.33607499967;2020-01-24;-222.73955897105924;-2570.4338172930443;1904.9510713099085;1653.9988598123782;-45564.40347995407;49087.69852821514;941.0;26.0;36.0
3;3;-2262.174595827699;-12007.779947654626;7138.567433463922;2020-01-25;-588.6366440027289;-2789.797247696772;1399.5093761092198;-20613.15365097671;-67446.74613083668;24580.069131246764;1434.0;42.0;39.0
4;4;-527.5958522734024;-9997.849742280976;8463.891615202947;2020-01-26;196.5909647404792;-1890.6636654615088;2532.139153199485;10303.314780919627;-36355.55027968934;56835.70654791125;2118.0;56.0;52.0
5;5;-35.016887535811065;-9072.47597954954;9253.659247144682;2020-01-27;321.0004874938887;-1862.200410221618;2523.7318205970028;14069.597057839368;-30568.557360418334;62708.90911597036;2927.0;82.0;61.0
6;6;-2617.897161235561;-11884.385721156896;6525.979130638241;2020-01-28;-418.8889383891592;-2750.5963357636724;1811.7903411710251;3058.122392553086;-41502.491243703036;48245.58679474094;5578.0;131.0;107.0
7;7;-1601.406898997775;-10339.548550934;6726.8288909681;2020-01-29;-213.11987264215117;-2686.498002166522;1942.7632761566872;8529.942260212623;-41772.232521738224;54621.13460270734;6166.0;133.0;126.0
8;8;-783.0647558727372;-10097.437769782096;8436.656657227648;2020-01-30;75.44808708094374;-2164.7649062598175;2324.021240396449;15956.19925771403;-29421.94478642944;63393.36211677701;8234.0;171.0;143.0
9;9;4.591404493992684;-9106.467318629053;9027.72539085621;2020-01-31;436.7328111589944;-1848.5827343894655;2671.341358349936;20236.502434140555;-24439.127900265055;67593.04540906177;9927.0;213.0;222.0
10;10;1300.0655297130872;-8085.437356131444;10719.871750639406;2020-02-01;70.83566556590256;-2362.8854405915495;2441.662381687438;-2030.6500588468407;-49023.772411405924;45783.917339174805;12038.0;259.0;284.0
11;11;3034.644280987861;-6168.121492054843;12013.729683338306;2020-02-02;856.0632137495734;-1275.1155021864608;3166.5783488023067;28885.81839095206;-15927.972694342268;79069.21982091811;16787.0;362.0;472.0
12;12;3527.2232534518985;-5579.571936704724;12616.234759931403;2020-02-03;980.4726759445591;-1246.3418914567078;3231.2797062314753;32652.100685785736;-10741.635015661815;79585.91068928536;19881.0;426.0;623.0
13;13;944.5032268389368;-8437.092504199947;10247.639722954762;2020-02-04;240.58319890139137;-1868.3766585383964;2590.170991079821;21640.62601388202;-25348.03670187715;72875.34984926725;23892.0;492.0;852.0
14;14;1961.153736174978;-7277.312158869145;11339.290515492901;2020-02-05;446.3522134913956;-1790.2513230225134;2638.1165342165496;27112.445874980956;-19416.49801398052;72580.55605730785;27635.0;564.0;1124.0
15;15;2780.2967441670135;-5742.791575463517;11950.159663040287;2020-02-06;734.9202140016072;-1488.8102916340165;3058.878395408193;34538.70285151957;-11888.860308693704;79630.03319376832;30794.0;634.0;1487.0
16;16;3568.7537694017174;-6083.095147787423;13085.502824441945;2020-02-07;1096.2049788692168;-1173.8803316685512;3302.106911385066;38819.00600703835;-4619.987414056992;87439.30785440118;34330.0;719.0;2011.0
17;17;4865.028756537505;-4653.929826116963;13687.157129722009;2020-02-08;730.30788703557;-1546.3256998787563;3060.880014345677;16551.853491040132;-32511.377674102165;63518.31181685909;37059.0;806.0;2616.0
18;18;6603.412704488948;-2918.974182560784;15730.128606734357;2020-02-09;1515.5354980341504;-735.7680517892546;3772.9972796680836;47468.32191543529;2574.627164854168;93385.05449759218;40086.0;906.0;3241.0
19;19;7099.796873631662;-2057.3189465444416;16535.740491850578;2020-02-10;1639.9450230436785;-579.06497367544;3970.239343231797;51234.604184825344;4943.412416089924;97014.37492066191;42627.0;1013.0;3943.0
